"","Month","Birch_Albedo","Pine_Albedo","Spruce_Albedo","SWE_mm","Temp_K","LocalityCode","LocalityName","Region","Treatment","Year","Years_Since_Exclosure","Exclosure_Year","Clearcut_Year","Composite_Albedo"
"1",1,0.498623125842895,0.462537999935413,0.444514311429783,164.564516129032,270.56935483871,"1BBB","steinkjer_1bbb","trondelag","open",2009,1,2008,2005,0.496710092634107
"2",2,0.513323520321449,0.477042853225649,0.455804036197114,209.635714285714,266.757142857143,"1BBB","steinkjer_1bbb","trondelag","open",2009,1,2008,2005,0.51130565211241
"3",3,0.525340308572048,0.484201218171829,0.460682959252495,276.548387096774,272.253225806452,"1BBB","steinkjer_1bbb","trondelag","open",2009,1,2008,2005,0.523069335180545
"4",4,0.38230241500303,0.345516183482228,0.341452193768496,97.6866666666667,277.403333333333,"1BBB","steinkjer_1bbb","trondelag","open",2009,1,2008,2005,0.380785845938948
"5",5,0.161220715637435,0.146099070991021,0.152211710351085,0,281.740322580645,"1BBB","steinkjer_1bbb","trondelag","open",2009,1,2008,2005,0.160833157563254
"6",6,0.16122071548005,0.146099062961584,0.152211710120347,0,284.18,"1BBB","steinkjer_1bbb","trondelag","open",2009,1,2008,2005,0.16083315734401
"7",7,0.161220715479613,0.146099062894583,0.152211710119605,0,288.046774193548,"1BBB","steinkjer_1bbb","trondelag","open",2009,1,2008,2005,0.16083315734306
"8",8,0.161220715479613,0.146099062894636,0.152211710119605,0,287.562903225806,"1BBB","steinkjer_1bbb","trondelag","open",2009,1,2008,2005,0.16083315734306
"9",9,0.161220715498039,0.146099064304017,0.152211710148113,0,282.63,"1BBB","steinkjer_1bbb","trondelag","open",2009,1,2008,2005,0.160833157372329
"10",10,0.162549534350924,0.149432307773997,0.153704587423139,0.187096774193548,275.191935483871,"1BBB","steinkjer_1bbb","trondelag","open",2009,1,2008,2005,0.16218213272753
"11",11,0.162713315767403,0.149794717800906,0.153801323758948,0.126666666666667,275.116666666667,"1BBB","steinkjer_1bbb","trondelag","open",2009,1,2008,2005,0.162345387237098
"12",12,0.261448387943337,0.247247783514811,0.242135148474069,9.42903225806452,268.282258064516,"1BBB","steinkjer_1bbb","trondelag","open",2009,1,2008,2005,0.26075555792587
"13",1,0.419150200884129,0.389256983766142,0.371905879096881,52.3774193548387,263.162903225806,"1BBB","steinkjer_1bbb","trondelag","open",2010,2,2008,2005,0.417160469027157
"14",2,0.477704761845418,0.43855865148351,0.421110156131652,112.657142857143,263.803571428571,"1BBB","steinkjer_1bbb","trondelag","open",2010,2,2008,2005,0.475290902452537
"15",3,0.494811025923573,0.459200047271424,0.440003643177684,155.4,268.991935483871,"1BBB","steinkjer_1bbb","trondelag","open",2010,2,2008,2005,0.492494294017794
"16",4,0.282301858878534,0.279261606189557,0.274793430292511,40.8066666666667,276.086666666667,"1BBB","steinkjer_1bbb","trondelag","open",2010,2,2008,2005,0.282001186450961
"17",5,0.161027497424925,0.146259502115167,0.151865723433542,0.0967741935483871,279.311290322581,"1BBB","steinkjer_1bbb","trondelag","open",2010,2,2008,2005,0.16056008750424
"18",6,0.160931383100675,0.146099064774813,0.151678116764274,0,282.483333333333,"1BBB","steinkjer_1bbb","trondelag","open",2010,2,2008,2005,0.160460061430934
"19",7,0.16093138307442,0.146099062894604,0.151678116724011,0,287.798387096774,"1BBB","steinkjer_1bbb","trondelag","open",2010,2,2008,2005,0.160460061387316
"20",8,0.160931383074421,0.146099062894942,0.151678116724012,0,286.795161290323,"1BBB","steinkjer_1bbb","trondelag","open",2010,2,2008,2005,0.16046006138732
"21",9,0.160931383479346,0.146099080328372,0.151678117304176,0,281.35,"1BBB","steinkjer_1bbb","trondelag","open",2010,2,2008,2005,0.160460061953422
"22",10,0.161732078333967,0.147461593183116,0.15321419250892,0.790322580645161,277.256451612903,"1BBB","steinkjer_1bbb","trondelag","open",2010,2,2008,2005,0.161292605348049
"23",11,0.266458804742411,0.25474288735573,0.247828283814784,12.7666666666667,266.663333333333,"1BBB","steinkjer_1bbb","trondelag","open",2010,2,2008,2005,0.265674822914255
"24",12,0.434890777744136,0.397471237981984,0.37941397550406,58.4096774193548,263.05,"1BBB","steinkjer_1bbb","trondelag","open",2010,2,2008,2005,0.432533261846659
"25",1,0.488046236316677,0.45148792947343,0.432332282014795,138.009677419355,270.340322580645,"1BBB","steinkjer_1bbb","trondelag","open",2011,3,2008,2005,0.486068564765717
"26",2,0.499252733515067,0.464143643180647,0.443103752172692,168.207142857143,267.7,"1BBB","steinkjer_1bbb","trondelag","open",2011,3,2008,2005,0.497276461336799
"27",3,0.509356374888078,0.472683439402798,0.450431054911203,212.335483870968,272.120967741935,"1BBB","steinkjer_1bbb","trondelag","open",2011,3,2008,2005,0.507284055515108
"28",4,0.382973155704545,0.347194790604406,0.340912467004291,100.346666666667,277.69,"1BBB","steinkjer_1bbb","trondelag","open",2011,3,2008,2005,0.381400724333663
"29",5,0.160871533116137,0.14609907999998,0.151328113040149,0,281.359677419355,"1BBB","steinkjer_1bbb","trondelag","open",2011,3,2008,2005,0.160450147549689
"30",6,0.160871532720562,0.146099062895169,0.151328112473053,0,286.563333333333,"1BBB","steinkjer_1bbb","trondelag","open",2011,3,2008,2005,0.160450146986893
"31",7,0.160871532720561,0.146099062894592,0.15132811247305,0,287.920967741935,"1BBB","steinkjer_1bbb","trondelag","open",2011,3,2008,2005,0.160450146986886
"32",8,0.160871532720561,0.146099062894801,0.151328112473051,0,287.020967741935,"1BBB","steinkjer_1bbb","trondelag","open",2011,3,2008,2005,0.160450146986888
"33",9,0.160871532721546,0.146099063024449,0.151328112474689,0,283.843333333333,"1BBB","steinkjer_1bbb","trondelag","open",2011,3,2008,2005,0.160450146989141
"34",10,0.160871868417797,0.146103203799006,0.151328519461694,0,278.566129032258,"1BBB","steinkjer_1bbb","trondelag","open",2011,3,2008,2005,0.16045052170433
"35",11,0.161189636211921,0.14676973527251,0.15190746940413,0.276666666666667,276.556666666667,"1BBB","steinkjer_1bbb","trondelag","open",2011,3,2008,2005,0.160779282800632
"36",12,0.401235792888091,0.378041248880344,0.362249994548942,48,271.901612903226,"1BBB","steinkjer_1bbb","trondelag","open",2011,3,2008,2005,0.399875094450953
"37",1,0.487117414122534,0.451005974492484,0.432742712035035,137.322580645161,269.224193548387,"1BBB","steinkjer_1bbb","trondelag","open",2012,4,2008,2005,0.48502019784998
"38",2,0.520984410872375,0.484459975201813,0.459175208229538,243.672413793103,269.725862068966,"1BBB","steinkjer_1bbb","trondelag","open",2012,4,2008,2005,0.518648073571332
"39",3,0.466054510178647,0.433852921915986,0.40694883157168,343.603225806452,274.124193548387,"1BBB","steinkjer_1bbb","trondelag","open",2012,4,2008,2005,0.463849050977767
"40",4,0.465905852229632,0.437864969214655,0.412285961017754,290.543333333333,273.83,"1BBB","steinkjer_1bbb","trondelag","open",2012,4,2008,2005,0.46391742531752
"41",5,0.244161791521456,0.249612352030897,0.242812778756789,33.3806451612903,279.472580645161,"1BBB","steinkjer_1bbb","trondelag","open",2012,4,2008,2005,0.244176565439514
"42",6,0.16051345990629,0.145979564567449,0.15155955528558,0,282.75,"1BBB","steinkjer_1bbb","trondelag","open",2012,4,2008,2005,0.160077716651543
"43",7,0.1605134598925,0.145979563454981,0.151559555264092,0,286.359677419355,"1BBB","steinkjer_1bbb","trondelag","open",2012,4,2008,2005,0.160077716625945
"44",8,0.160513459892509,0.145979563457535,0.151559555264109,0,285.685483870968,"1BBB","steinkjer_1bbb","trondelag","open",2012,4,2008,2005,0.160077716625981
